"","date","carrier","flight_num","origin","dest","dest_state","sched_dep","dep","sched_arr","arr","cancelled","canc_code","distance","weekday","dep_delay","arr_delay"
"1",2017-12-23,"EV",5590,11995,10397,34,2017-12-23 08:15:00,2017-12-23 08:08:00,2017-12-23 09:46:00,2017-12-23 10:06:00,0,NA,306,"Saturday",-7,20
"2",2017-12-26,"UA",2133,10257,13930,41,2017-12-26 06:15:00,2017-12-26 06:40:00,2017-12-26 07:46:00,2017-12-26 08:05:00,0,NA,723,"Tuesday",25,19
"3",2017-10-26,"AA",2644,13851,11298,74,2017-10-26 05:10:00,2017-10-26 05:00:00,2017-10-26 06:07:00,2017-10-26 05:54:00,0,NA,175,"Thursday",-10,-13
"4",2017-12-16,"AA",889,14100,11298,74,2017-12-16 18:15:00,2017-12-16 18:19:00,2017-12-16 21:24:00,2017-12-16 21:10:00,0,NA,1303,"Saturday",4,-14
"5",2017-11-28,"AA",1914,14685,11057,36,2017-11-28 18:05:00,2017-11-28 18:02:00,2017-11-28 19:21:00,2017-11-28 19:08:00,0,NA,213,"Tuesday",-3,-13
"6",2017-11-17,"UA",980,11292,14057,92,2017-11-17 22:20:00,2017-11-17 22:32:00,2017-11-17 00:11:00,2017-11-17 00:08:00,0,NA,991,"Friday",12,-3
"7",2017-12-07,"WN",6164,14908,13796,91,2017-12-07 14:05:00,2017-12-07 14:10:00,2017-12-07 15:30:00,2017-12-07 15:29:00,0,NA,371,"Thursday",5,-1
"8",2017-10-12,"EV",4419,12266,13158,74,2017-10-12 19:20:00,2017-10-12 19:17:00,2017-10-12 20:50:00,2017-10-12 20:35:00,0,NA,429,"Thursday",-3,-15
"9",2017-11-30,"NK",238,14747,10821,35,2017-11-30 23:45:00,2017-11-30 23:40:00,2017-11-30 07:45:00,2017-11-30 07:12:00,0,NA,2335,"Thursday",-5,-33
"10",2017-12-04,"B6",2279,10721,11618,21,2017-12-04 06:05:00,2017-12-04 05:56:00,2017-12-04 07:30:00,2017-12-04 07:13:00,0,NA,200,"Monday",-9,-17
"11",2017-11-11,"OO",4722,14683,11433,43,2017-11-11 15:00:00,2017-11-11 14:50:00,2017-11-11 19:07:00,2017-11-11 18:42:00,0,NA,1214,"Saturday",-10,-25
"12",2017-12-05,"OO",7378,14869,10779,84,2017-12-05 22:00:00,2017-12-05 21:51:00,2017-12-05 23:44:00,2017-12-05 23:01:00,0,NA,358,"Tuesday",-9,-43
"13",2017-12-26,"B6",211,11618,14635,33,2017-12-26 16:50:00,2017-12-26 17:56:00,2017-12-26 20:04:00,2017-12-26 21:26:00,0,NA,1068,"Tuesday",66,82
"14",2017-10-23,"OO",4697,10135,11433,43,2017-10-23 12:40:00,2017-10-23 12:34:00,2017-10-23 14:29:00,2017-10-23 14:02:00,0,NA,425,"Monday",-6,-27
"15",2017-11-12,"WN",3188,10599,13204,33,2017-11-12 06:00:00,2017-11-12 05:54:00,2017-11-12 08:30:00,2017-11-12 08:17:00,0,NA,479,"Sunday",-6,-13
"16",2017-12-26,"VX",1178,14771,11618,21,2017-12-26 14:55:00,2017-12-26 14:58:00,2017-12-26 23:08:00,2017-12-26 22:39:00,0,NA,2565,"Tuesday",3,-29
"17",2017-12-29,"WN",2334,11697,13232,41,2017-12-29 11:50:00,2017-12-29 11:58:00,2017-12-29 14:00:00,2017-12-29 14:23:00,0,NA,1167,"Friday",8,23
"18",2017-10-11,"VX",1077,12264,14771,91,2017-10-11 18:53:00,2017-10-11 22:40:00,2017-10-11 21:51:00,2017-10-11 01:54:00,0,NA,2419,"Wednesday",227,-1197
"19",2017-11-13,"B6",488,12892,10721,13,2017-11-13 11:45:00,2017-11-13 12:21:00,2017-11-13 20:09:00,2017-11-13 20:52:00,0,NA,2611,"Monday",36,43
"20",2017-11-20,"NK",283,10874,14635,33,2017-11-20 06:00:00,2017-11-20 05:55:00,2017-11-20 08:42:00,2017-11-20 08:37:00,0,NA,991,"Monday",-5,-5
"21",2017-12-22,"AA",1505,11298,13891,91,2017-12-22 12:25:00,2017-12-22 12:28:00,2017-12-22 13:37:00,2017-12-22 13:38:00,0,NA,1188,"Friday",3,1
"22",2017-10-13,"DL",2007,10397,13495,72,2017-10-13 22:39:00,2017-10-13 22:38:00,2017-10-13 23:05:00,2017-10-13 23:01:00,0,NA,425,"Friday",-1,-4
"23",2017-12-30,"OO",5196,14262,14771,91,2017-12-30 06:25:00,2017-12-30 06:24:00,2017-12-30 08:08:00,2017-12-30 08:01:00,0,NA,421,"Saturday",-1,-7
"24",2017-12-27,"OO",5227,11292,13264,92,2017-12-27 11:30:00,2017-12-27 12:08:00,2017-12-27 13:29:00,2017-12-27 14:01:00,0,NA,964,"Wednesday",38,32
"25",2017-10-08,"DL",1381,13487,10627,66,2017-10-08 19:30:00,2017-10-08 19:22:00,2017-10-08 21:01:00,2017-10-08 20:35:00,0,NA,386,"Sunday",-8,-26
"26",2017-11-16,"DL",505,11433,14122,23,2017-11-16 22:10:00,2017-11-16 22:06:00,2017-11-16 23:17:00,2017-11-16 23:08:00,0,NA,201,"Thursday",-4,-9
"27",2017-11-05,"WN",4833,14107,12892,91,2017-11-05 18:50:00,2017-11-05 19:00:00,2017-11-05 19:15:00,2017-11-05 19:41:00,0,NA,370,"Sunday",10,26
"28",2017-12-23,"OO",4638,14492,13487,63,2017-12-23 08:30:00,2017-12-23 08:28:00,2017-12-23 10:42:00,2017-12-23 10:45:00,0,NA,980,"Saturday",-2,3
"29",2017-11-10,"AA",498,10721,11298,74,2017-11-10 17:45:00,2017-11-10 17:58:00,2017-11-10 21:26:00,2017-11-10 21:16:00,0,NA,1562,"Friday",13,-10
"30",2017-12-16,"AA",1221,11298,10423,74,2017-12-16 16:35:00,2017-12-16 16:31:00,2017-12-16 17:40:00,2017-12-16 17:27:00,0,NA,190,"Saturday",-4,-13
"31",2017-12-07,"DL",84,15304,10397,34,2017-12-07 18:45:00,2017-12-07 18:41:00,2017-12-07 20:23:00,2017-12-07 20:14:00,0,NA,406,"Thursday",-4,-9
"32",2017-12-14,"DL",2619,10140,14869,87,2017-12-14 05:44:00,2017-12-14 05:44:00,2017-12-14 07:40:00,2017-12-14 07:19:00,0,NA,493,"Thursday",0,-21
"33",2017-11-05,"VX",1047,14771,13830,2,2017-11-05 18:26:00,2017-11-05 18:49:00,2017-11-05 22:03:00,2017-11-05 21:55:00,0,NA,2338,"Sunday",23,-8
"34",2017-12-02,"WN",2944,14107,14908,91,2017-12-02 20:30:00,2017-12-02 20:30:00,2017-12-02 20:45:00,2017-12-02 20:36:00,0,NA,338,"Saturday",0,-9
"35",2017-10-01,"WN",5031,15304,13232,41,2017-10-01 17:35:00,2017-10-01 18:53:00,2017-10-01 19:15:00,2017-10-01 20:24:00,0,NA,997,"Sunday",78,69
"36",2017-12-16,"UA",253,12266,12173,2,2017-12-16 09:45:00,2017-12-16 09:40:00,2017-12-16 14:25:00,2017-12-16 13:57:00,0,NA,3904,"Saturday",-5,-28
"37",2017-10-01,"DL",752,14107,14869,87,2017-10-01 18:47:00,2017-10-01 18:38:00,2017-10-01 21:25:00,2017-10-01 21:13:00,0,NA,507,"Sunday",-9,-12
"38",2017-10-19,"AA",626,14107,12889,85,2017-10-19 20:30:00,2017-10-19 20:27:00,2017-10-19 21:37:00,2017-10-19 21:46:00,0,NA,255,"Thursday",-3,9
"39",2017-12-23,"OO",7389,14869,11921,82,2017-12-23 20:26:00,2017-12-23 20:41:00,2017-12-23 21:43:00,2017-12-23 21:34:00,0,NA,216,"Saturday",15,-9
"40",2017-11-26,"UA",1195,13930,11298,74,2017-11-26 08:55:00,2017-11-26 08:51:00,2017-11-26 11:35:00,2017-11-26 10:57:00,0,NA,802,"Sunday",-4,-38
"41",2017-11-04,"OO",5018,12892,13476,91,2017-11-04 07:45:00,2017-11-04 07:58:00,2017-11-04 09:06:00,2017-11-04 09:21:00,0,NA,266,"Saturday",13,15
"42",2017-11-09,"AS",70,12523,14828,1,2017-11-09 22:47:00,2017-11-09 22:21:00,2017-11-09 23:32:00,2017-11-09 22:59:00,0,NA,95,"Thursday",-26,-33
"43",2017-10-04,"DL",1446,12448,10397,34,2017-10-04 15:59:00,2017-10-04 15:54:00,2017-10-04 18:21:00,2017-10-04 18:11:00,0,NA,341,"Wednesday",-5,-10
"44",2017-12-29,"DL",1974,13487,13930,41,2017-12-29 12:45:00,2017-12-29 12:47:00,2017-12-29 14:24:00,2017-12-29 14:34:00,0,NA,334,"Friday",2,10
"45",2017-11-09,"WN",246,13198,10397,34,2017-11-09 18:25:00,2017-11-09 19:03:00,2017-11-09 21:20:00,2017-11-09 21:43:00,0,NA,692,"Thursday",38,23
"46",2017-12-28,"B6",121,10721,14027,33,2017-12-28 08:47:00,2017-12-28 09:05:00,2017-12-28 12:16:00,2017-12-28 13:04:00,0,NA,1197,"Thursday",18,48
"47",2017-12-21,"HA",326,12173,13830,2,2017-12-21 16:07:00,2017-12-21 16:13:00,2017-12-21 16:48:00,2017-12-21 16:58:00,0,NA,100,"Thursday",6,10
"48",2017-11-28,"OO",5328,14771,10713,83,2017-11-28 11:00:00,2017-11-28 10:57:00,2017-11-28 13:54:00,2017-11-28 13:34:00,0,NA,522,"Tuesday",-3,-20
"49",2017-12-29,"AA",1718,10994,11298,74,2017-12-29 15:10:00,2017-12-29 15:21:00,2017-12-29 17:27:00,2017-12-29 17:22:00,0,NA,987,"Friday",11,-5
"50",2017-11-26,"EV",4129,11049,12266,74,2017-11-26 06:00:00,2017-11-26 05:52:00,2017-11-26 06:55:00,2017-11-26 06:30:00,0,NA,74,"Sunday",-8,-25
"51",2017-10-31,"OO",4643,12954,14869,87,2017-10-31 07:19:00,2017-10-31 07:14:00,2017-10-31 10:14:00,2017-10-31 10:04:00,0,NA,588,"Tuesday",-5,-10
"52",2017-11-01,"WN",4953,12892,14107,81,2017-11-01 12:30:00,2017-11-01 12:30:00,2017-11-01 13:50:00,2017-11-01 14:06:00,0,NA,370,"Wednesday",0,16
"53",2017-11-06,"WN",1688,13796,10693,54,2017-11-06 15:05:00,2017-11-06 15:46:00,2017-11-06 21:10:00,2017-11-06 21:28:00,0,NA,1959,"Monday",41,18
"54",2017-12-12,"OO",4679,11433,11003,61,2017-12-12 15:25:00,2017-12-12 15:25:00,2017-12-12 16:13:00,2017-12-12 16:12:00,0,NA,430,"Tuesday",0,-1
"55",2017-10-04,"AS",319,14831,14747,93,2017-10-04 20:40:00,2017-10-04 20:35:00,2017-10-04 22:48:00,2017-10-04 22:34:00,0,NA,696,"Wednesday",-5,-14
"56",2017-12-08,"B6",660,14100,10721,13,2017-12-08 16:55:00,2017-12-08 16:50:00,2017-12-08 18:13:00,2017-12-08 17:56:00,0,NA,280,"Friday",-5,-17
"57",2017-12-01,"OO",4941,11637,13487,63,2017-12-01 10:52:00,2017-12-01 10:47:00,2017-12-01 12:11:00,2017-12-01 11:48:00,0,NA,223,"Friday",-5,-23
"58",2017-10-16,"UA",1706,12402,12892,91,2017-10-16 20:50:00,2017-10-16 20:41:00,2017-10-16 04:56:00,2017-10-16 04:19:00,0,NA,2449,"Monday",-9,-37
"59",2017-10-24,"AA",640,11278,14107,81,2017-10-24 16:59:00,2017-10-24 16:58:00,2017-10-24 18:55:00,2017-10-24 18:29:00,0,NA,1979,"Tuesday",-1,-26
"60",2017-11-16,"DL",873,10397,10693,54,2017-11-16 12:43:00,2017-11-16 12:38:00,2017-11-16 12:47:00,2017-11-16 12:34:00,0,NA,214,"Thursday",-5,-13
"61",2017-12-01,"DL",1936,13303,13487,63,2017-12-01 14:05:00,2017-12-01 14:14:00,2017-12-01 16:59:00,2017-12-01 16:59:00,0,NA,1501,"Friday",9,0
"62",2017-12-30,"WN",6473,10397,10821,35,2017-12-30 14:20:00,2017-12-30 15:50:00,2017-12-30 16:05:00,2017-12-30 17:38:00,0,NA,577,"Saturday",90,93
"63",2017-12-09,"DL",1669,10397,13204,33,2017-12-09 17:55:00,2017-12-09 18:51:00,2017-12-09 19:30:00,2017-12-09 20:23:00,0,NA,404,"Saturday",56,53
"64",2017-11-21,"WN",4729,15304,11278,38,2017-11-21 11:35:00,2017-11-21 11:34:00,2017-11-21 13:40:00,2017-11-21 13:26:00,0,NA,814,"Tuesday",-1,-14
"65",2017-12-18,"EV",5351,11042,14492,36,2017-12-18 07:50:00,2017-12-18 07:47:00,2017-12-18 09:25:00,2017-12-18 09:11:00,0,NA,416,"Monday",-3,-14
"66",2017-10-17,"AA",855,14107,14771,91,2017-10-17 07:35:00,2017-10-17 07:29:00,2017-10-17 09:44:00,2017-10-17 09:39:00,0,NA,651,"Tuesday",-6,-5
"67",2017-10-25,"EV",5580,10208,10397,34,2017-10-25 13:10:00,2017-10-25 14:25:00,2017-10-25 14:18:00,2017-10-25 15:16:00,0,NA,143,"Wednesday",75,58
"68",2017-12-15,"AA",1004,10423,11298,74,2017-12-15 08:20:00,2017-12-15 08:17:00,2017-12-15 09:27:00,2017-12-15 09:18:00,0,NA,190,"Friday",-3,-9
"69",2017-12-03,"VX",1001,14771,11278,38,2017-12-03 08:00:00,2017-12-03 07:56:00,2017-12-03 16:03:00,2017-12-03 15:51:00,0,NA,2442,"Sunday",-4,-12
"70",2017-10-22,"DL",2359,11986,11433,43,2017-10-22 19:01:00,2017-10-22 18:57:00,2017-10-22 19:55:00,2017-10-22 19:45:00,0,NA,120,"Sunday",-4,-10
"71",2017-10-04,"WN",4866,14747,12889,85,2017-10-04 12:05:00,2017-10-04 12:07:00,2017-10-04 14:40:00,2017-10-04 14:44:00,0,NA,867,"Wednesday",2,4
"72",2017-10-13,"OO",4507,12266,11193,52,2017-10-13 11:36:00,2017-10-13 11:50:00,2017-10-13 14:54:00,2017-10-13 15:08:00,0,NA,871,"Friday",14,14
"73",2017-10-20,"WN",1593,14107,11259,74,2017-10-20 17:05:00,2017-10-20 17:13:00,2017-10-20 21:20:00,2017-10-20 21:24:00,0,NA,879,"Friday",8,4
"74",2017-11-13,"OO",5404,13930,11637,66,2017-11-13 12:20:00,2017-11-13 12:18:00,2017-11-13 14:26:00,2017-11-13 14:32:00,0,NA,557,"Monday",-2,6
"75",2017-10-18,"DL",779,14747,12892,91,2017-10-18 11:15:00,2017-10-18 11:13:00,2017-10-18 14:00:00,2017-10-18 13:42:00,0,NA,954,"Wednesday",-2,-18
"76",2017-12-05,"AA",370,13930,12953,22,2017-12-05 06:00:00,2017-12-05 05:54:00,2017-12-05 09:03:00,2017-12-05 08:46:00,0,NA,733,"Tuesday",-6,-17
"77",2017-10-01,"DL",1495,12892,10423,74,2017-10-01 08:40:00,2017-10-01 08:32:00,2017-10-01 13:48:00,2017-10-01 13:14:00,0,NA,1242,"Sunday",-8,-34
"78",2017-11-03,"DL",996,14893,14869,87,2017-11-03 06:00:00,2017-11-03 05:58:00,2017-11-03 08:41:00,2017-11-03 08:34:00,0,NA,532,"Friday",-2,-7
"79",2017-11-16,"DL",856,10397,12892,91,2017-11-16 10:00:00,2017-11-16 10:00:00,2017-11-16 12:00:00,2017-11-16 11:58:00,0,NA,1946,"Thursday",0,-2
"80",2017-10-01,"WN",5608,10397,13495,72,2017-10-01 22:00:00,2017-10-01 21:55:00,2017-10-01 22:30:00,2017-10-01 22:19:00,0,NA,425,"Sunday",-5,-11
"81",2017-11-22,"DL",2618,12264,13487,63,2017-11-22 08:10:00,2017-11-22 08:04:00,2017-11-22 10:03:00,2017-11-22 09:32:00,0,NA,908,"Wednesday",-6,-31
"82",2017-10-15,"WN",4797,14831,10800,91,2017-10-15 08:30:00,2017-10-15 08:25:00,2017-10-15 09:30:00,2017-10-15 09:27:00,0,NA,296,"Sunday",-5,-3
"83",2017-11-02,"EV",3952,12266,12992,71,2017-11-02 16:20:00,2017-11-02 16:11:00,2017-11-02 17:47:00,2017-11-02 17:35:00,0,NA,374,"Thursday",-9,-12
"84",2017-11-28,"UA",1700,11278,12266,74,2017-11-28 12:47:00,2017-11-28 12:41:00,2017-11-28 15:23:00,2017-11-28 14:47:00,0,NA,1208,"Tuesday",-6,-36
"85",2017-12-11,"UA",2094,14679,12266,74,2017-12-11 08:10:00,2017-12-11 08:13:00,2017-12-11 13:22:00,2017-12-11 13:20:00,0,NA,1303,"Monday",3,-2
"86",2017-11-21,"VX",1127,10821,14771,91,2017-11-21 17:45:00,2017-11-21 17:44:00,2017-11-21 20:57:00,2017-11-21 20:30:00,0,NA,2457,"Tuesday",-1,-27
"87",2017-10-22,"OO",3052,12892,11638,91,2017-10-22 19:55:00,2017-10-22 20:14:00,2017-10-22 21:01:00,2017-10-22 21:17:00,0,NA,209,"Sunday",19,16
"88",2017-10-09,"OO",5507,11292,10372,82,2017-10-09 18:55:00,2017-10-09 19:22:00,2017-10-09 19:45:00,2017-10-09 20:08:00,0,NA,125,"Monday",27,23
"89",2017-10-08,"AA",1806,11057,10721,13,2017-10-08 18:15:00,2017-10-08 18:17:00,2017-10-08 20:32:00,2017-10-08 20:29:00,0,NA,728,"Sunday",2,-3
"90",2017-10-28,"EV",4068,13296,11618,21,2017-10-28 06:00:00,2017-10-28 05:55:00,2017-10-28 07:22:00,2017-10-28 07:17:00,0,NA,209,"Saturday",-5,-5
"91",2017-11-30,"UA",1077,13495,12266,74,2017-11-30 07:30:00,2017-11-30 07:25:00,2017-11-30 08:54:00,2017-11-30 08:36:00,0,NA,305,"Thursday",-5,-18
"92",2017-10-01,"OO",3347,14831,10800,91,2017-10-01 06:40:00,2017-10-01 06:34:00,2017-10-01 07:54:00,2017-10-01 07:41:00,0,NA,296,"Sunday",-6,-13
"93",2017-10-19,"UA",904,11618,13495,72,2017-10-19 20:07:00,2017-10-19 20:13:00,2017-10-19 22:17:00,2017-10-19 22:00:00,0,NA,1167,"Thursday",6,-17
"94",2017-12-25,"WN",2034,12892,10397,34,2017-12-25 07:30:00,2017-12-25 07:35:00,2017-12-25 14:40:00,2017-12-25 14:21:00,0,NA,1947,"Monday",5,-19
"95",2017-12-25,"OO",5049,13930,11823,42,2017-12-25 19:30:00,2017-12-25 20:50:00,2017-12-25 21:39:00,2017-12-25 22:37:00,0,NA,157,"Monday",80,58
"96",2017-12-07,"UA",2076,12266,11292,82,2017-12-07 20:01:00,2017-12-07 19:59:00,2017-12-07 21:35:00,2017-12-07 21:20:00,0,NA,862,"Thursday",-2,-15
"97",2017-10-31,"OO",3250,12892,14107,81,2017-10-31 18:05:00,2017-10-31 18:11:00,2017-10-31 19:39:00,2017-10-31 19:32:00,0,NA,370,"Tuesday",6,-7
"98",2017-11-16,"DL",1678,13487,14635,33,2017-11-16 06:56:00,2017-11-16 06:53:00,2017-11-16 11:27:00,2017-11-16 11:18:00,0,NA,1416,"Thursday",-3,-9
"99",2017-12-08,"AA",53,13930,15304,33,2017-12-08 09:00:00,2017-12-08 09:01:00,2017-12-08 12:39:00,2017-12-08 13:00:00,0,NA,1012,"Friday",1,21
"100",2017-11-26,"EV",5459,11146,10397,34,2017-11-26 16:59:00,2017-11-26 16:55:00,2017-11-26 18:39:00,2017-11-26 18:20:00,0,NA,363,"Sunday",-4,-19
"101",2017-11-27,"OO",3139,13930,15412,54,2017-11-27 08:35:00,2017-11-27 08:27:00,2017-11-27 11:14:00,2017-11-27 11:00:00,0,NA,475,"Monday",-8,-14
"102",2017-10-20,"AA",8,12173,11298,74,2017-10-20 17:30:00,2017-10-20 17:22:00,2017-10-20 06:04:00,2017-10-20 06:04:00,0,NA,3784,"Friday",-8,0
"103",2017-10-20,"WN",572,14576,10821,35,2017-10-20 06:25:00,2017-10-20 06:19:00,2017-10-20 07:40:00,2017-10-20 07:23:00,0,NA,277,"Friday",-6,-17
"104",2017-11-05,"WN",3674,11278,13871,65,2017-11-05 16:45:00,2017-11-05 16:58:00,2017-11-05 18:45:00,2017-11-05 19:17:00,0,NA,1012,"Sunday",13,32
"105",2017-12-26,"DL",2496,14730,10397,34,2017-12-26 15:20:00,2017-12-26 15:19:00,2017-12-26 16:49:00,2017-12-26 16:38:00,0,NA,321,"Tuesday",-1,-11
"106",2017-12-28,"WN",1119,12339,11292,82,2017-12-28 09:05:00,2017-12-28 09:12:00,2017-12-28 10:00:00,2017-12-28 10:15:00,0,NA,977,"Thursday",7,15
"107",2017-12-07,"OO",3202,15412,11298,74,2017-12-07 18:10:00,2017-12-07 18:06:00,2017-12-07 19:48:00,2017-12-07 19:56:00,0,NA,771,"Thursday",-4,8
"108",2017-12-07,"UA",519,13930,12889,85,2017-12-07 12:28:00,2017-12-07 12:25:00,2017-12-07 14:34:00,2017-12-07 13:57:00,0,NA,1514,"Thursday",-3,-37
"109",2017-11-18,"AA",2551,10693,11298,74,2017-11-18 06:01:00,2017-11-18 05:53:00,2017-11-18 08:19:00,2017-11-18 08:00:00,0,NA,631,"Saturday",-8,-19
"110",2017-10-01,"WN",3463,11433,10397,34,2017-10-01 16:55:00,2017-10-01 17:03:00,2017-10-01 18:50:00,2017-10-01 18:50:00,0,NA,594,"Sunday",8,0
"111",2017-11-25,"AA",1574,10397,13930,41,2017-11-25 07:55:00,2017-11-25 07:52:00,2017-11-25 09:10:00,2017-11-25 09:10:00,0,NA,606,"Saturday",-3,0
"112",2017-12-16,"F9",1149,12264,12889,85,2017-12-16 22:40:00,2017-12-16 22:43:00,2017-12-16 01:05:00,2017-12-16 01:00:00,0,NA,2065,"Saturday",3,-5
"113",2017-12-08,"WN",951,10821,13487,63,2017-12-08 20:50:00,2017-12-08 21:12:00,2017-12-08 22:45:00,2017-12-08 22:52:00,0,NA,936,"Friday",22,7
"114",2017-11-10,"B6",865,10721,14635,33,2017-11-10 10:48:00,2017-11-10 10:39:00,2017-11-10 14:26:00,2017-11-10 13:57:00,0,NA,1249,"Friday",-9,-29
"115",2017-11-18,"AA",2591,10693,13303,33,2017-11-18 06:00:00,2017-11-18 05:56:00,2017-11-18 09:28:00,2017-11-18 08:53:00,0,NA,806,"Saturday",-4,-35
"116",2017-11-18,"DL",2175,12478,13303,33,2017-11-18 11:45:00,2017-11-18 12:00:00,2017-11-18 14:42:00,2017-11-18 14:48:00,0,NA,1089,"Saturday",15,6
"117",2017-10-01,"OO",5946,11648,11292,82,2017-10-01 17:05:00,2017-10-01 10:45:00,2017-10-01 19:19:00,2017-10-01 12:52:00,0,NA,752,"Sunday",-380,-387
"118",2017-11-02,"WN",265,13204,11292,82,2017-11-02 16:15:00,2017-11-02 16:16:00,2017-11-02 18:10:00,2017-11-02 18:21:00,0,NA,1546,"Thursday",1,11
"119",2017-11-26,"UA",1779,10821,11292,82,2017-11-26 16:10:00,2017-11-26 16:04:00,2017-11-26 18:14:00,2017-11-26 18:05:00,0,NA,1491,"Sunday",-6,-9
"120",2017-12-16,"OO",4565,13851,14869,87,2017-12-16 17:55:00,2017-12-16 17:56:00,2017-12-16 19:35:00,2017-12-16 19:15:00,0,NA,866,"Saturday",1,-20
"121",2017-11-02,"WN",5041,14908,14771,91,2017-11-02 14:55:00,2017-11-02 15:06:00,2017-11-02 16:20:00,2017-11-02 16:18:00,0,NA,372,"Thursday",11,-2
"122",2017-11-07,"WN",1415,15016,14107,81,2017-11-07 06:40:00,2017-11-07 06:32:00,2017-11-07 09:20:00,2017-11-07 09:15:00,0,NA,1262,"Tuesday",-8,-5
"123",2017-11-22,"WN",823,11292,14107,81,2017-11-22 05:00:00,2017-11-22 04:56:00,2017-11-22 07:05:00,2017-11-22 06:38:00,0,NA,602,"Wednesday",-4,-27
"124",2017-11-23,"AA",1280,14107,12478,22,2017-11-23 22:55:00,2017-11-23 22:54:00,2017-11-23 05:29:00,2017-11-23 05:37:00,0,NA,2153,"Thursday",-1,8
"125",2017-12-05,"AA",2534,11298,11540,74,2017-12-05 15:01:00,2017-12-05 14:55:00,2017-12-05 15:47:00,2017-12-05 15:45:00,0,NA,551,"Tuesday",-6,-2
"126",2017-11-05,"AA",1010,11298,15016,64,2017-11-05 20:25:00,2017-11-05 20:22:00,2017-11-05 22:01:00,2017-11-05 21:56:00,0,NA,550,"Sunday",-3,-5
"127",2017-12-24,"WN",4786,12191,13204,33,2017-12-24 13:10:00,2017-12-24 13:11:00,2017-12-24 16:20:00,2017-12-24 16:08:00,0,NA,849,"Sunday",1,-12
"128",2017-12-28,"WN",6474,12191,13495,72,2017-12-28 14:05:00,2017-12-28 14:10:00,2017-12-28 15:10:00,2017-12-28 15:00:00,0,NA,302,"Thursday",5,-10
"129",2017-10-21,"UA",2001,13930,12892,91,2017-10-21 08:55:00,2017-10-21 08:56:00,2017-10-21 11:25:00,2017-10-21 11:25:00,0,NA,1744,"Saturday",1,0
"130",2017-12-06,"DL",1344,12892,13487,63,2017-12-06 00:30:00,2017-12-06 00:22:00,2017-12-06 06:03:00,2017-12-06 05:51:00,0,NA,1535,"Wednesday",-8,-12
"131",2017-12-22,"OO",5800,14489,14771,91,2017-12-22 19:30:00,2017-12-22 19:25:00,2017-12-22 21:13:00,2017-12-22 21:22:00,0,NA,462,"Friday",-5,9
"132",2017-11-25,"WN",1601,12451,11292,82,2017-11-25 10:35:00,2017-11-25 10:38:00,2017-11-25 12:30:00,2017-11-25 12:16:00,0,NA,1447,"Saturday",3,-14
"133",2017-11-27,"DL",1589,13487,11278,38,2017-11-27 12:47:00,2017-11-27 12:43:00,2017-11-27 16:16:00,2017-11-27 15:55:00,0,NA,931,"Monday",-4,-21
"134",2017-12-26,"WN",3690,10423,13232,41,2017-12-26 05:45:00,2017-12-26 05:41:00,2017-12-26 08:15:00,2017-12-26 08:10:00,0,NA,972,"Tuesday",-4,-5
"135",2017-12-18,"UA",1207,12266,13930,41,2017-12-18 09:45:00,2017-12-18 09:44:00,2017-12-18 12:26:00,2017-12-18 12:08:00,0,NA,925,"Monday",-1,-18
"136",2017-11-22,"AA",969,13303,11298,74,2017-11-22 10:45:00,2017-11-22 10:45:00,2017-11-22 13:02:00,2017-11-22 12:46:00,0,NA,1121,"Wednesday",0,-16
"137",2017-12-15,"WN",1655,13198,12889,85,2017-12-15 07:35:00,2017-12-15 07:35:00,2017-12-15 08:50:00,2017-12-15 08:10:00,0,NA,1139,"Friday",0,-40
"138",2017-10-11,"DL",1227,10397,11433,43,2017-10-11 16:20:00,2017-10-11 16:18:00,2017-10-11 18:21:00,2017-10-11 18:01:00,0,NA,594,"Wednesday",-2,-20
"139",2017-12-10,"AA",581,11618,11057,36,2017-12-10 11:25:00,2017-12-10 11:17:00,2017-12-10 13:28:00,2017-12-10 13:22:00,0,NA,529,"Sunday",-8,-6
"140",2017-11-27,"WN",5218,10800,13796,91,2017-11-27 16:50:00,2017-11-27 17:18:00,2017-11-27 18:05:00,2017-11-27 19:07:00,0,NA,325,"Monday",28,62
"141",2017-10-14,"AA",1941,12323,11057,36,2017-10-14 07:10:00,2017-10-14 07:06:00,2017-10-14 08:19:00,2017-10-14 08:30:00,0,NA,185,"Saturday",-4,11
"142",2017-10-08,"WN",5986,15376,12892,91,2017-10-08 11:25:00,2017-10-08 11:30:00,2017-10-08 13:00:00,2017-10-08 12:52:00,0,NA,451,"Sunday",5,-8
"143",2017-11-12,"WN",6107,14107,10800,91,2017-11-12 14:35:00,2017-11-12 14:32:00,2017-11-12 15:00:00,2017-11-12 14:53:00,0,NA,369,"Sunday",-3,-7
"144",2017-12-11,"DL",44,10397,12478,22,2017-12-11 16:00:00,2017-12-11 15:58:00,2017-12-11 18:24:00,2017-12-11 18:01:00,0,NA,760,"Monday",-2,-23
"145",2017-12-07,"UA",859,14107,12266,74,2017-12-07 05:25:00,2017-12-07 05:19:00,2017-12-07 08:56:00,2017-12-07 08:39:00,0,NA,1009,"Thursday",-6,-17
"146",2017-12-15,"AA",2162,12953,10721,13,2017-12-15 11:00:00,2017-12-15 10:59:00,2017-12-15 12:17:00,2017-12-15 12:24:00,0,NA,184,"Friday",-1,7
